# ccx tau_xx tau_yy tau_zz cp
-0.24299 -405.799 -2.54324 8.20107e-13 0.0606374
-0.241293 -198.827 0.791636 4.77874e-13 0.034807
-0.2396 -175.921 0.928501 4.33901e-13 0.0415149
-0.23791 -168.131 0.985005 3.81788e-13 0.0439693
-0.236224 -162.247 0.989285 3.48964e-13 0.04521
-0.234543 -157.228 0.921557 3.37156e-13 0.0467485
-0.232865 -153.063 0.825747 3.00621e-13 0.0481738
-0.231191 -149.557 0.659542 2.90347e-13 0.049498
-0.229521 -146.534 0.459349 2.85432e-13 0.0505784
-0.227855 -143.881 0.257479 2.75557e-13 0.0513898
-0.226192 -141.518 0.0192356 2.85513e-13 0.0519488
-0.224534 -139.405 -0.204147 2.66969e-13 0.0522135
-0.222879 -137.463 -0.455759 2.61015e-13 0.052183
-0.221229 -135.689 -0.631151 2.688e-13 0.051941
-0.219582 -134.034 -0.858148 2.04135e-13 0.0514719
-0.217938 -132.499 -1.01286 1.77091e-13 0.0508586
-0.216299 -131.064 -1.15566 1.42371e-13 0.0501332
-0.214663 -129.717 -1.29523 1.31884e-13 0.0493065
-0.213032 -128.448 -1.41608 1.00959e-13 0.0484057
-0.211404 -127.251 -1.5222 1.20908e-13 0.0474468
-0.209779 -126.119 -1.62308 1.50293e-13 0.0464347
-0.208159 -125.044 -1.70965 1.00356e-13 0.0453859
-0.206542 -124.023 -1.78655 1.22223e-13 0.0443072
-0.204929 -123.058 -1.85938 1.59176e-13 0.0432116
-0.20332 -122.126 -1.91563 1.70457e-13 0.0421012
-0.201715 -121.236 -1.96247 1.4233e-13 0.0409749
-0.200113 -120.385 -2.01746 1.1439e-13 0.0398415
-0.198515 -119.571 -2.04691 1.77204e-13 0.0387076
-0.19692 -118.792 -2.07222 1.60941e-13 0.0375737
-0.19533 -118.045 -2.09006 8.96253e-14 0.0364564
-0.193743 -117.331 -2.08171 1.2668e-13 0.0353864
-0.192159 -116.649 -2.05884 1.53684e-13 0.034383
-0.19058 -115.998 -2.01287 8.16527e-14 0.0334694
-0.189004 -115.372 -1.97969 7.38113e-14 0.0326462
-0.187431 -114.769 -1.92582 1.24722e-13 0.0319189
-0.185863 -114.188 -1.88122 1.17524e-13 0.0312836
-0.184297 -113.627 -1.84078 6.87162e-14 0.0307249
-0.182736 -113.083 -1.80641 3.35835e-14 0.0302258
-0.181178 -112.554 -1.78579 -3.63751e-14 0.0297689
-0.179624 -112.035 -1.76113 1.01923e-14 0.0293418
-0.178073 -111.526 -1.74002 6.47226e-14 0.0289363
-0.176526 -111.025 -1.72125 2.57429e-14 0.0285418
-0.174983 -110.53 -1.70334 3.6931e-14 0.0281531
-0.173443 -110.037 -1.67863 3.73507e-14 0.0277664
-0.171907 -109.538 -1.63246 -1.59571e-14 0.0273707
-0.170374 -109.077 -1.64713 4.21909e-14 0.0269751
-0.168845 -108.608 -1.63722 6.18113e-14 0.0265702
-0.167319 -108.143 -1.60358 3.06944e-14 0.0261484
-0.165797 -107.683 -1.56807 8.98937e-14 0.0257343
-0.164278 -107.233 -1.49936 6.62426e-14 0.0253628
-0.162763 -106.794 -1.42215 1.09613e-13 0.025065
-0.161251 -106.364 -1.33869 1.02124e-13 0.0248564
-0.159743 -105.943 -1.25222 1.02197e-13 0.0247331
-0.158239 -105.528 -1.17184 1.74554e-13 0.0246889
-0.156738 -105.118 -1.09388 1.44339e-13 0.024713
-0.15524 -104.713 -0.996516 1.26286e-13 0.0248187
-0.153746 -104.312 -0.881516 9.21051e-14 0.0250396
-0.152255 -103.913 -0.785839 3.40218e-14 0.0253484
-0.150768 -103.515 -0.688087 1.03291e-13 0.0257367
-0.149284 -103.118 -0.574888 8.38361e-14 0.0262187
-0.147804 -102.722 -0.455744 6.44012e-14 0.0268062
-0.146327 -102.327 -0.330824 1.25519e-13 0.0275099
-0.144853 -101.933 -0.201447 5.76994e-14 0.0283388
-0.143383 -101.538 -0.0674129 6.81017e-14 0.029296
-0.141916 -101.142 0.0476722 5.58445e-14 0.0303796
-0.140453 -100.743 0.182315 3.96723e-14 0.0315864
-0.138993 -100.344 0.323831 5.21708e-14 0.0329247
-0.137536 -99.9419 0.466485 2.15966e-14 0.0344011
-0.136083 -99.5373 0.608504 -2.35655e-14 0.0360158
-0.134633 -99.1283 0.736838 5.76528e-14 0.0377559
-0.133187 -98.7128 0.853755 4.39352e-14 0.039604
-0.131744 -98.2893 0.956484 -1.17811e-14 0.041542
-0.130304 -97.8569 1.05042 2.95877e-14 0.0435577
-0.128868 -97.414 1.12671 -1.61291e-14 0.0456321
-0.127435 -96.9588 1.18582 -5.81806e-14 0.0477424
-0.126005 -96.4868 1.22838 -1.02737e-14 0.0498667
-0.124578 -95.9893 1.25461 1.53255e-14 0.0519877
-0.123155 -95.5084 1.27374 -2.57053e-14 0.0540751
-0.121735 -95.0029 1.27246 -2.76247e-14 0.0561279
-0.120319 -94.4802 1.27361 -4.94735e-14 0.0581394
-0.118905 -93.9451 1.28075 -3.044e-14 0.0601093
-0.117495 -93.3999 1.28686 5.42001e-15 0.062043
-0.116088 -92.8465 1.29594 -1.0733e-14 0.0639508
-0.114685 -92.2869 1.32875 -4.65407e-14 0.0658477
-0.113285 -91.7227 1.36706 3.03831e-15 0.0677502
-0.111888 -91.1558 1.4132 -5.96839e-15 0.0696754
-0.110494 -90.5876 1.48697 -1.85989e-14 0.0716416
-0.109103 -90.0186 1.56613 -2.47313e-14 0.0736658
-0.107716 -89.4497 1.64839 4.90599e-15 0.0757651
-0.106332 -88.8793 1.7451 -4.32414e-14 0.0779517
-0.104951 -88.3082 1.84538 -2.29892e-14 0.0802329
-0.103573 -87.7366 1.95413 -2.04627e-15 0.0826101
-0.102199 -87.1638 2.05167 -3.38364e-14 0.0850816
-0.100827 -86.589 2.13513 -2.12568e-14 0.0876434
-0.099459 -86.011 2.23122 -3.88907e-14 0.0902916
-0.098094 -85.4289 2.30192 -3.55181e-14 0.0930216
-0.0967322 -84.8418 2.37611 4.00618e-14 0.0958314
-0.0953735 -84.2491 2.45456 2.40726e-14 0.098717
-0.0940179 -83.6485 2.50641 5.98354e-15 0.101672
-0.0926655 -83.0416 2.55603 8.8909e-14 0.104695
-0.0913162 -82.4256 2.59596 3.53002e-14 0.107783
-0.0899701 -81.8001 2.62227 5.30567e-14 0.110931
-0.088627 -81.1644 2.62618 6.56437e-14 0.114134
-0.0872871 -80.5175 2.64122 3.67722e-14 0.117388
-0.0859502 -79.859 2.62282 1.73812e-14 0.120689
-0.0846165 -79.188 2.60365 6.14033e-14 0.124033
-0.0832859 -78.5037 2.5727 6.61184e-14 0.127417
-0.0819583 -77.805 2.53058 3.32897e-14 0.130836
-0.0806338 -77.0879 2.49749 4.90263e-14 0.134288
-0.0793124 -76.3627 2.41004 3.30721e-14 0.137764
-0.077994 -75.6184 2.33209 2.37019e-14 0.141271
-0.0766787 -74.8567 2.24437 1.90015e-15 0.144802
-0.0753664 -74.0772 2.1469 -3.6292e-14 0.148354
-0.0740572 -73.2793 2.04091 -7.14131e-14 0.151927
-0.072751 -72.4624 1.93572 -3.65059e-14 0.155519
-0.0714478 -71.6259 1.8149 -9.14493e-14 0.15913
-0.0701477 -70.7692 1.68106 -4.95373e-14 0.162761
-0.0688505 -69.8915 1.55111 -3.44152e-14 0.166413
-0.0675564 -68.9923 1.41846 -5.56314e-14 0.17009
-0.0662653 -68.0697 1.28294 -3.26786e-14 0.173793
-0.0649771 -67.1253 1.14607 -9.67337e-14 0.177528
-0.0636919 -66.1568 1.00922 -8.48839e-14 0.181299
-0.0624097 -65.1634 0.873421 -6.86262e-15 0.185111
